Serial_number:,2012223,,,,,,
Project ID:,NCOS Hydrology Monitoring,,,,,,
Location:,Groundwater Well 12,,,,,,
LEVEL UNIT:,ft,,,,,,
Offset:,0.000000 ft,,,,,,
TEMPERATURE UNIT:, °C,,,,,,
,,,,,,,
Date,Time,Date & Time,TEMPERATURE (C),Conductivity (uS/cm),LEVEL (ft),WSE (ft),
3/28/2018,0:00,3/28/2018 0:00,12.6,,2.498,8.198,
3/28/2018,0:15,3/28/2018 0:15,12.6,,2.502,8.202,
3/28/2018,0:30,3/28/2018 0:30,12.6,,2.498,8.198,
3/28/2018,0:45,3/28/2018 0:45,12.6,,2.505,8.205,
3/28/2018,1:00,3/28/2018 1:00,12.6,,2.509,8.209,
3/28/2018,1:15,3/28/2018 1:15,12.6,,2.515,8.215,
3/28/2018,1:30,3/28/2018 1:30,12.6,,2.516,8.216,
3/28/2018,1:45,3/28/2018 1:45,12.6,,2.521,8.221,
3/28/2018,2:00,3/28/2018 2:00,12.6,,2.531,8.231,
3/28/2018,2:15,3/28/2018 2:15,12.6,,2.532,8.232,
3/28/2018,2:30,3/28/2018 2:30,12.6,,2.532,8.232,
3/28/2018,2:45,3/28/2018 2:45,12.6,,2.537,8.237,
3/28/2018,3:00,3/28/2018 3:00,12.6,,2.54,8.24,
3/28/2018,3:15,3/28/2018 3:15,12.6,,2.543,8.243,
3/28/2018,3:30,3/28/2018 3:30,12.6,,2.549,8.249,
3/28/2018,3:45,3/28/2018 3:45,12.6,,2.546,8.246,
3/28/2018,4:00,3/28/2018 4:00,12.6,,2.548,8.248,
3/28/2018,4:15,3/28/2018 4:15,12.6,,2.554,8.254,
3/28/2018,4:30,3/28/2018 4:30,12.6,,2.558,8.258,
3/28/2018,4:45,3/28/2018 4:45,12.6,,2.557,8.257,
3/28/2018,5:00,3/28/2018 5:00,12.6,,2.556,8.256,
3/28/2018,5:15,3/28/2018 5:15,12.6,,2.558,8.258,
3/28/2018,5:30,3/28/2018 5:30,12.6,,2.562,8.262,
3/28/2018,5:45,3/28/2018 5:45,12.6,,2.565,8.265,
3/28/2018,6:00,3/28/2018 6:00,12.6,,2.57,8.27,
3/28/2018,6:15,3/28/2018 6:15,12.6,,2.571,8.271,
3/28/2018,6:30,3/28/2018 6:30,12.6,,2.573,8.273,
3/28/2018,6:45,3/28/2018 6:45,12.6,,2.572,8.272,
3/28/2018,7:00,3/28/2018 7:00,12.6,,2.576,8.276,
3/28/2018,7:15,3/28/2018 7:15,12.6,,2.575,8.275,
3/28/2018,7:30,3/28/2018 7:30,12.6,,2.575,8.275,
3/28/2018,7:45,3/28/2018 7:45,12.6,,2.581,8.281,
3/28/2018,8:00,3/28/2018 8:00,12.6,,2.584,8.284,
3/28/2018,8:15,3/28/2018 8:15,12.6,,2.59,8.29,
3/28/2018,8:30,3/28/2018 8:30,12.6,,2.59,8.29,
3/28/2018,8:45,3/28/2018 8:45,12.6,,2.592,8.292,
3/28/2018,9:00,3/28/2018 9:00,12.6,,2.594,8.294,
3/28/2018,9:15,3/28/2018 9:15,12.6,,2.602,8.302,
3/28/2018,9:30,3/28/2018 9:30,12.6,,2.605,8.305,
3/28/2018,9:45,3/28/2018 9:45,12.6,,2.604,8.304,
3/28/2018,10:00,3/28/2018 10:00,12.6,,2.605,8.305,
3/28/2018,10:15,3/28/2018 10:15,12.6,,2.601,8.301,
3/28/2018,10:30,3/28/2018 10:30,12.6,,2.593,8.293,
3/28/2018,10:45,3/28/2018 10:45,12.6,,2.583,8.283,
3/28/2018,11:00,3/28/2018 11:00,12.6,,2.571,8.271,
3/28/2018,11:15,3/28/2018 11:15,12.6,,2.561,8.261,
3/28/2018,11:30,3/28/2018 11:30,12.6,,2.555,8.255,
3/28/2018,11:45,3/28/2018 11:45,12.6,,2.541,8.241,
3/28/2018,12:00,3/28/2018 12:00,12.6,,2.527,8.227,
3/28/2018,12:15,3/28/2018 12:15,12.6,,2.514,8.214,
3/28/2018,12:30,3/28/2018 12:30,12.6,,2.502,8.202,
3/28/2018,12:45,3/28/2018 12:45,12.6,,2.484,8.184,
3/28/2018,13:00,3/28/2018 13:00,12.6,,2.469,8.169,
3/28/2018,13:15,3/28/2018 13:15,12.6,,2.456,8.156,
3/28/2018,13:30,3/28/2018 13:30,12.6,,2.44,8.14,
3/28/2018,13:45,3/28/2018 13:45,12.6,,2.426,8.126,
3/28/2018,14:00,3/28/2018 14:00,12.6,,2.406,8.106,
3/28/2018,14:15,3/28/2018 14:15,12.6,,2.4,8.1,
3/28/2018,14:30,3/28/2018 14:30,12.6,,2.389,8.089,
3/28/2018,14:45,3/28/2018 14:45,12.6,,2.38,8.08,
3/28/2018,15:00,3/28/2018 15:00,12.6,,2.374,8.074,
3/28/2018,15:15,3/28/2018 15:15,12.6,,2.371,8.071,
3/28/2018,15:30,3/28/2018 15:30,12.6,,2.364,8.064,
3/28/2018,15:45,3/28/2018 15:45,12.6,,2.362,8.062,
3/28/2018,16:00,3/28/2018 16:00,12.6,,2.358,8.058,
3/28/2018,16:15,3/28/2018 16:15,12.6,,2.352,8.052,
3/28/2018,16:30,3/28/2018 16:30,12.6,,2.346,8.046,
3/28/2018,16:45,3/28/2018 16:45,12.6,,2.341,8.041,
3/28/2018,17:00,3/28/2018 17:00,12.6,,2.335,8.035,
3/28/2018,17:15,3/28/2018 17:15,12.6,,2.327,8.027,
3/28/2018,17:30,3/28/2018 17:30,12.6,,2.347,8.047,
3/28/2018,17:45,3/28/2018 17:45,12.6,,2.305,8.005,
3/28/2018,18:00,3/28/2018 18:00,12.6,,2.32,8.02,
3/28/2018,18:15,3/28/2018 18:15,12.6,,2.322,8.022,
3/28/2018,18:30,3/28/2018 18:30,12.6,,2.33,8.03,
3/28/2018,18:45,3/28/2018 18:45,12.6,,2.333,8.033,
3/28/2018,19:00,3/28/2018 19:00,12.6,,2.334,8.034,
3/28/2018,19:15,3/28/2018 19:15,12.6,,2.341,8.041,
3/28/2018,19:30,3/28/2018 19:30,12.6,,2.348,8.048,
3/28/2018,19:45,3/28/2018 19:45,12.6,,2.353,8.053,
3/28/2018,20:00,3/28/2018 20:00,12.6,,2.358,8.058,
3/28/2018,20:15,3/28/2018 20:15,12.6,,2.362,8.062,
3/28/2018,20:30,3/28/2018 20:30,12.6,,2.369,8.069,
3/28/2018,20:45,3/28/2018 20:45,12.6,,2.374,8.074,
3/28/2018,21:00,3/28/2018 21:00,12.6,,2.382,8.082,
3/28/2018,21:15,3/28/2018 21:15,12.6,,2.388,8.088,
3/28/2018,21:30,3/28/2018 21:30,12.6,,2.389,8.089,
3/28/2018,21:45,3/28/2018 21:45,12.6,,2.398,8.098,
3/28/2018,22:00,3/28/2018 22:00,12.6,,2.406,8.106,
3/28/2018,22:15,3/28/2018 22:15,12.6,,2.411,8.111,
3/28/2018,22:30,3/28/2018 22:30,12.6,,2.413,8.113,
3/28/2018,22:45,3/28/2018 22:45,12.6,,2.423,8.123,
3/28/2018,23:00,3/28/2018 23:00,12.6,,2.427,8.127,
3/28/2018,23:15,3/28/2018 23:15,12.6,,2.435,8.135,
3/28/2018,23:30,3/28/2018 23:30,12.6,,2.437,8.137,
3/28/2018,23:45,3/28/2018 23:45,12.6,,2.441,8.141,
3/29/2018,0:00,3/29/2018 0:00,12.6,,2.448,8.148,
3/29/2018,0:15,3/29/2018 0:15,12.6,,2.45,8.15,
3/29/2018,0:30,3/29/2018 0:30,12.6,,2.455,8.155,
3/29/2018,0:45,3/29/2018 0:45,12.6,,2.458,8.158,
3/29/2018,1:00,3/29/2018 1:00,12.6,,2.463,8.163,
3/29/2018,1:15,3/29/2018 1:15,12.6,,2.471,8.171,
3/29/2018,1:30,3/29/2018 1:30,12.6,,2.47,8.17,
3/29/2018,1:45,3/29/2018 1:45,12.6,,2.475,8.175,
3/29/2018,2:00,3/29/2018 2:00,12.6,,2.482,8.182,
3/29/2018,2:15,3/29/2018 2:15,12.6,,2.48,8.18,
3/29/2018,2:30,3/29/2018 2:30,12.6,,2.489,8.189,
3/29/2018,2:45,3/29/2018 2:45,12.6,,2.489,8.189,
3/29/2018,3:00,3/29/2018 3:00,12.6,,2.493,8.193,
3/29/2018,3:15,3/29/2018 3:15,12.6,,2.497,8.197,
3/29/2018,3:30,3/29/2018 3:30,12.6,,2.508,8.208,
3/29/2018,3:45,3/29/2018 3:45,12.6,,2.507,8.207,
3/29/2018,4:00,3/29/2018 4:00,12.6,,2.514,8.214,
3/29/2018,4:15,3/29/2018 4:15,12.6,,2.515,8.215,
3/29/2018,4:30,3/29/2018 4:30,12.6,,2.52,8.22,
3/29/2018,4:45,3/29/2018 4:45,12.6,,2.522,8.222,
3/29/2018,5:00,3/29/2018 5:00,12.6,,2.526,8.226,
3/29/2018,5:15,3/29/2018 5:15,12.6,,2.528,8.228,
3/29/2018,5:30,3/29/2018 5:30,12.6,,2.526,8.226,
3/29/2018,5:45,3/29/2018 5:45,12.6,,2.528,8.228,
3/29/2018,6:00,3/29/2018 6:00,12.6,,2.534,8.234,
3/29/2018,6:15,3/29/2018 6:15,12.6,,2.535,8.235,
3/29/2018,6:30,3/29/2018 6:30,12.6,,2.536,8.236,
3/29/2018,6:45,3/29/2018 6:45,12.6,,2.538,8.238,
3/29/2018,7:00,3/29/2018 7:00,12.6,,2.541,8.241,
3/29/2018,7:15,3/29/2018 7:15,12.6,,2.543,8.243,
3/29/2018,7:30,3/29/2018 7:30,12.6,,2.548,8.248,
3/29/2018,7:45,3/29/2018 7:45,12.6,,2.547,8.247,
3/29/2018,8:00,3/29/2018 8:00,12.6,,2.548,8.248,
3/29/2018,8:15,3/29/2018 8:15,12.6,,2.55,8.25,
3/29/2018,8:30,3/29/2018 8:30,12.6,,2.548,8.248,
3/29/2018,8:45,3/29/2018 8:45,12.6,,2.555,8.255,
3/29/2018,9:00,3/29/2018 9:00,12.6,,2.557,8.257,
3/29/2018,9:15,3/29/2018 9:15,12.6,,2.558,8.258,
